景点名,等级,地址,介绍,热度,价格,月销量,经度,纬度
玉屏索道,,安徽省黄山市黄山区黄山景区,沿途欣赏秀丽山色,0.0,169,7039,118.18013825696276,30.070606593610414
太平索道,,安徽省黄山市黄山景区,上揽云天雾海，下拾阡陌平川,0.0,169,6396,118.18013825696276,30.070606593610414
成都熊猫基地,4A,四川省成都市成华区外北熊猫大道1375号,无关黑与白， 不分胖与瘦， 可爱而又温暖,0.8,54,6302,104.15237325412764,30.738574647542777
东方明珠,5A,上海市浦东新区世纪大道1号,感受云端漫步，品味老上海风情,0.76,215,5659,121.50575081580605,31.24478016101388
张掖七彩丹霞旅游景区,4A,甘肃省张掖市临泽县倪家营南台子村,来中国秀美的七大丹霞赏彩色丹霞,0.0,72,5310,100.13309756166977,39.0374590341114
大连森林动物园,4A,辽宁省大连市西岗区南石道街迎春路60号,与动物嬉戏，共享和谐人生,0.72,115,5299,121.6266747567768,38.89401783183473
锦绣中华民俗村,5A,广东省深圳市南山区深南大道9003号华侨城锦绣中华苏州街（近华侨城地铁站D出口）,深圳小人国——实景微缩景区候选世界纪录,0.74,45,5093,113.9941504606068,22.538923878845075
上海野生动物园,5A,上海市浦东新区南汇县三灶镇南六公路178号,与野生动物近距离的“亲密接触”,0.72,118.1,4844,121.7699041751199,31.051897976820506
颐和园,5A,北京市海淀区新建宫门路19号,保存完整的一座皇家行宫御苑,0.82,65,4328,116.28929029626218,39.997101431716125
涠洲岛,4A,广西省北海市南北部湾海域,秀美的火山岛，感受渔家风情,0.9199999999999999,60,4276,109.15016692984743,21.50028099354522
乐山大佛,5A,四川省乐山市市中区凌云路2435号簏子街,摩崖石刻造像,0.82,89,4176,103.7834542613411,29.569106428476072
青岛海昌极地海洋世界,4A,山东省青岛市崂山区东海东路60号,私会极地来的珍稀动物,0.76,97,4144,120.45057323636595,36.07629615888211
天涯海角,4A,海南省三亚市沿海滨西行26公里天涯镇马岭山麓,天之涯海之角，爱就陪Ta到天涯海角,0.9,75,4050,109.33386131572547,18.31378618362579
韶关丹霞山,5A,广东省韶关市浈江区丹霞山风景名胜区,丹霞地貌命名地,1.0,140,4050,113.74453613473234,25.0400872328024
北京欢乐谷,4A,北京市朝阳区东四环小武基北路,七大主题园区带你畅享北京欢乐谷,0.72,99,4049,116.49895816644518,39.889191934040895
乐华城•乐华欢乐世界,,陕西省西咸新区泾河新城沣泾大道,过山车主题公园,0.0,88,3802,109.50378929072508,35.860026261322766
天门山国家森林公园,5A,湖南省张家界市永定区天门山索道站,穿越云霄的旅行,0.82,232,3726,110.48961960975178,29.117749903283038
南山文化旅游区,5A,海南省三亚市崖城镇南山村,108米的海上三面观音，三亚不容错过之旅,0.76,115,3697,109.19019829703815,18.32343339552453
黄山风景区,5A,安徽省黄山市黄山区黄山风景区,五岳归来不看山，黄山归来不看岳,1.0,75,3612,118.17345524215514,30.060365124697995
上海欢乐谷,4A,上海市松江区佘山镇林湖路888号,游乐项目惊险刺激，特色表演异彩纷呈,0.72,120,3608,121.22625527782287,31.09997841821621
嵩山少林寺,5A,河南省郑州登封市西北13公里嵩山南麓,登顶中岳嵩山，一览天下胜景,0.86,70,3432,113.01482372910452,34.52369571465558
香港迪士尼乐园,,香港特别行政区离岛区大屿山神奇道香港迪士尼乐园,香港必游乐园，亲子游必选,1.0,435,3428,114.05573173411017,22.3108835078335
长隆野生动物世界,5A,广东省广州市番禺区迎宾路长隆旅游度假村旁,熊猫三胞胎，与您共享欢乐时光,0.74,3.8,3426,113.32162431662682,23.04202963164474
八达岭长城,5A,北京市延庆县军都山关沟古道北口216省道附近,不到长城非好汉,0.82,40,3417,116.0452871144021,40.333580966559914
长恨歌,,陕西省西安市临潼区华清路38号华清池,中国首部大型实景历史舞剧,0.0,186,3405,109.21924373608019,34.3697812400269
蜈支洲岛,5A,海南省三亚市林旺镇海棠湾蜈支洲岛,私人订制主取景地,0.86,150,3324,109.73297809435464,18.278478916907762
鼓浪屿,5A,福建省厦门市思明区鼓浪屿,琴之岛，乐之屿,0.9800000000000001,29,3204,118.07367153984569,24.452339588488634
亚龙湾热带天堂森林公园,4A,海南省三亚市吉阳镇亚龙湾国际旅游度假区,非诚勿扰2拍摄地,0.8,135,3098,109.63149263755125,18.255503658688106
长隆水上乐园,5A,广东省广州市番禺区迎宾路长隆旅游度假区内,全球必去的水上乐园,0.72,91.01,3065,113.34078676943722,23.011491468631867
陕西历史博物馆,4A,陕西省西安市雁塔区小寨东路91号,在这里，见证中华文明,0.9199999999999999,28.1,3045,108.96188798661125,34.22923333491989
宋城千古情,,浙江省杭州市西湖区之江路148号,杭州宋城的灵魂，世界三大名秀,0.0,290,3035,120.10663333924954,30.176645379856154
茶卡盐湖,4A,青海省海西州鸟兰县茶卡镇盐湖路,"天然结晶盐，晶大质纯,盐味醇香",0.8400000000000001,68,3008,99.08550969631395,36.79732357401828
鼓浪屿往返轮渡,,福建省厦门市思明区鹭江道（近中山路）,鼓浪屿上岛必备神器,0.0,41,2877,118.07951249294769,24.46216810242985
世界之窗,5A,广东省深圳市南山区深南大道9037号,全球微缩景点，精彩演绎、娱乐项目应有尽有,0.0,70,2865,113.98046737137142,22.542337416806653
宏村,5A,安徽省黄山市黟县宏村镇宏村里,炊烟袅袅升起，行走在皖南小山村,0.78,52,2864,117.98859334302392,29.995008819144832
拙政园,5A,江苏省苏州市平江区东北街178号,庭院错落，花木为胜,1.0,88.1,2792,120.63704615400978,31.3294605583393
张家界大峡谷,4A,湖南省张家界市慈利县三官寺,飞瀑神泉比比皆是，宛如来到世外桃源,0.7,158,2774,110.66347268777109,29.42966364210941
横店影视城,5A,浙江省金华东阳市横店镇横店影视城,东方好莱坞，江南第一镇,1.0,49,2772,120.29416554977304,29.161631592416718
张家界,,湖南省张家界市,湘鄂渝黔革命根据地的发源地和中心区域,0.0,95,2754,110.4816201569677,29.124889353219793
南京总统府,4A,江苏省南京市玄武区长江路292号,了解中国近代史，切记勿忘国耻,0.8,36.7,2732,118.80391735769962,32.049004107544604
布达拉宫,5A,西藏自治区拉萨市城关区北京中路35号,朝圣者的天堂,1.0,215,2724,91.12547202305252,29.6588808162848
黄鹤楼,5A,湖北省武汉市武昌区蛇山,孤帆远影碧空尽，唯见长江天际流,1.0,42,2699,114.31906255318887,30.548046179143302
黄浦江游船,,上海浦东区世纪大道1号,江中观景，享受休闲旅游,0.0,59,2681,121.50575081580605,31.24478016101388
大连圣亚海洋世界,4A,辽宁省大连市沙河口区中山路608-6-8号（星海广场西500米，星海公园内）,浪漫大连首站，浪漫的海洋主题乐园,0.82,110,2574,121.59015273862391,38.888177814218665
南昌万达主题乐园,,江西省南昌市红谷滩新区九龙大道,童话世界，从梦幻乐到真实,0.0,55,2502,115.862756270263,28.69708911214733
老虎滩海洋公园,5A,辽宁省大连市中山区滨海中路9号,浓缩极地世界，展现海洋奇观,0.9,4.8,2498,121.68319542441344,38.87629702499273
上海海洋水族馆,4A,上海市浦东新区陆家嘴环路1388号（近东方明珠）,穿越世界，来一次终生难忘的海洋之旅,0.74,159,2489,121.5085049998386,31.246059868518348
长隆欢乐世界,5A,广东省广州市番禺区长隆旅游度假区内,垂直过山车等挑战你的青春荷尔蒙,0.0,99,2420,113.34078676943722,23.011491468631867
泰山,5A,山东省泰安市泰山区红门路54号,会当凌绝顶，一览纵山小,1.0,122.2,2403,117.11993969768824,36.250641620679325
珠海长隆海洋王国,,广东省珠海市横琴新区富祥湾,经历一场难忘的深海历奇之旅,0.0,113,2396,113.55604791545103,22.117772180127176
青岛海底世界,4A,山东省青岛市市南区莱阳路2号,山中有海，偶遇美人鱼,0.74,103.9,2367,120.34223099470694,36.062978062173535
古北水镇,,北京市密云县古北口镇司马台村古北水镇,走进那个画中的小镇,0.0,95.8,2345,117.27522051865138,40.65181663884973
华山,5A,陕西省渭南市华阴市境内,只有天在上，更无山与齐,1.0,179,2342,110.05818818765898,34.532717876993104
长隆国际大马戏剧院,,广东省广州市番禺区迎宾路长隆欢乐世界东门侧,汇粹全球马戏精华,0.0,348.5,2324,113.33789530276434,23.005240897266642
八达岭长城缆车,,北京市延庆县军都山关沟古道北口八达岭长城景区内,巍峨雄伟尽收眼底,0.0,157.1,2319,116.01636706681387,40.36439024131364
深圳欢乐谷,5A,广东省深圳市南山区华侨城侨城西路,狂欢无罪，够胆你就来,0.8,219.5,2207,113.99009219119554,22.542435485609882
环球金融中心观光厅,4A,上海市浦东新区世纪大道100号,来上海登三高，眺望魔都霓虹闪烁,0.72,30,2186,121.51443399317066,31.24016458884712
合肥万达主题乐园,,安徽省合肥市滨湖新区庐州大道778号合肥万达乐园（万年埠路合肥万达诺富特酒店对面路口入内）,各种娱乐设施让你嗨不停,0.0,114,2151,,
上海杜莎夫人蜡像馆,4A,上海市黄浦区南京西路2-68号新世界商厦10楼,走自己的红毯，与世界明星相遇,0.74,120,2150,121.47994545482781,31.240529984213303
秦皇岛野生动物园,4A,河北省秦皇岛市北戴河区滨海大道中段,与动物“零距离”接触的野生动物园,0.7,50,2028,119.52852820937072,39.88491212416698
东部华侨城大侠谷,,广东省深圳市盐田区大梅沙东部华侨城,行走峡湾栈道，倾听大自然的天籁之音,0.0,179.1,2028,114.30689975122804,22.623797528874434
圆明园,4A,北京市海淀区清华西路28号,追忆昔日万园之园,0.76,3.3,2012,116.31929397877015,40.01911191725826
武夷山,5A,福建省南平市武夷山国家旅游度假区,满园春色尽在武夷风光,1.0,114,1996,117.99396571481952,27.659368301481173
水立方,,北京市朝阳区天辰东路11号奥林匹克公园内,中国的荣耀，阳光下的晶莹水滴,0.0,14.3,1960,116.39912692662858,40.00121047451763
云谷索道,,安徽省黄山市黄山风景区,先进的单线循环脱挂抱索器吊厢式索道设备,0.0,169,1928,118.17345524215514,30.060365124697995
常州中华恐龙园,5A,江苏省常州市新北区河海东路60号,以恐龙为主题的综合性游乐园,0.74,97.1,1916,119.99568562893344,31.825578749316914
大唐芙蓉园,5A,陕西省西安市雁塔曲江新区芙蓉西路99号,进入中国盛唐文化之旅,0.86,3.8,1914,108.98520437119093,34.21840524924432
阿尔山国家森林公园,5A,内蒙古兴安盟阿尔山市林海街,奇岩怪石姿态万千，堪称火山地质博物馆,1.0,275,1902,119.86615386420031,47.30100093281088
海棠湾,,海南省三亚市三亚旅游区海棠湾镇,海南三亚，浪漫的度假天堂,0.0,51,1894,109.71097211923305,18.318921445424436
鸣沙山月牙泉,5A,甘肃省酒泉敦煌市,形酷似一弯新月得名，水质甘冽，澄清如镜,0.86,10.8,1868,94.15804176645081,40.38877149934441
古堰画乡,,浙江省丽水市莲都区大港头镇,如此美景，恍如置身水墨画中,0.72,36,1838,119.74837172008166,28.301915845051433
宋城三亚千古情景区,,海南省三亚市河东区三亚海南省三亚市荔枝沟宋城三亚千古情景区,给我一个小时，带你穿越千年,0.0,120,1830,109.53410151892191,18.30333411463638
印象刘三姐,,广西壮族自治区桂林市阳朔县田园路1号,第一部山水实景演出，老谋子印象系列开山作,0.82,90,1794,110.50943870233041,24.765842671196317
北京野生动物园,4A,北京市大兴区一零六国道,北京郊区的一座大型自然生态动物园,0.7,2,1790,116.3303464018834,39.51359610085878
慕田峪长城,5A,北京市怀柔区慕田峪村,秀美长城，关键是人少,0.7,38,1762,116.56650873757421,40.433091768304315
普陀山,5A,浙江省舟山市普陀区,海天佛国 观音道场 ——普陀山,1.0,18,1750,122.27876474766273,29.87110137577138
西溪湿地（周家村入口）,5A,浙江省杭州市西湖区天目山路518号,游《非诚勿扰》拍摄地，感受湿地水乡浪漫,0.0,70,1746,120.05796419863466,30.248226597934618
北京杜莎夫人蜡像馆,,北京市东城区前门大街8号,中轴线上的巨星之旅,0.0,72,1744,116.40457309691851,39.90406847761363
嘉峪关方特欢乐世界,,甘肃省嘉峪关市方特大道4111号,科技互动体验营造的梦幻感受,0.0,230,1738,98.281634585257,39.80239732673353
广州正佳极地海洋世界,,广东省广州市天河路228号正佳广场2楼,梦幻主题式极地海洋体验,0.0,186.01,1738,113.3336548390296,23.138650503630014
青岛啤酒博物馆,4A,山东省青岛市市北区登州路56号青岛啤酒厂内,来这里深入了解啤酒的历史与文化,0.72,48.7,1724,120.35307947731688,36.08591400097332
分界洲岛,5A,海南省陵水县东北部分界洲岛,海水清澈，拥有众多珍稀动植物的“美女岛”,1.0,110,1712,110.20644937351246,18.58302252729106
澳门水舞间演出,,澳门特别行政区凼仔岛氹连贯公路新濠天地水舞间剧院,带你进入前所未见的视觉震撼新里程,1.0,363,1698,113.57850507529453,22.151158014925443
成都海昌极地海洋公园,4A,四川省成都市天府大道南沿线南端2037号（距华阳客运中心仅1公里）,置身极地世界，开启海底之旅,0.0,99,1696,104.07498333793414,30.49490123343773
成都欢乐谷,4A,四川省成都市金牛区西华大道16号（近北三环交大立交）,时尚、动感、欢乐、梦幻,0.74,75,1696,104.03712855959103,30.726305763053965
蓬莱阁,5A,山东省烟台蓬莱市迎宾路7号,道教传说中著名的神仙住所和人间仙境,1.0,135,1688,120.64966043126915,37.77702062311049
梦幻奥陶纪,,重庆市綦江区万盛黑山谷南门上行5公里,穿越5亿年，探索神奇远古寒冰洞,0.0,169.5,1644,107.00826705774239,28.894080445020702
成都武侯祠,4A,四川省成都市武侯区武侯祠大街231号,成都地标签到处,0.9,58,1642,104.0558629285102,30.650828829909614
国色天乡·陆地乐园,,四川省成都市温江区万春镇天香路88号国色天乡乐园,来这里体验惊险刺激,0.0,59,1640,103.8371918964552,30.729968007254367
鸽子窝公园,4A,河北省秦皇岛市北戴河区海滨东北角鸽赤路,来这里欣赏“红日浴海”的奇景,0.78,23,1616,119.53069903111019,39.841768019414836
华清宫（华清池·骊山）,5A,陕西省西安市临潼区华清路038号,览盛唐宫阙，登骊山怀古，赏长恨歌舞,0.9,75,1590,109.22000290215142,34.370229898232346
珠江夜游,,广东省广州市越秀区,珠江夜景，游广州必不可少的景点,0.0,66,1584,113.28783302666307,23.139277859339472
呀诺达热带雨林,5A,海南省保亭黎族苗族自治县三道农场呀诺达雨林文化旅游区,地处北纬18度的热带雨林,0.0,110,1584,109.69008256897854,18.4464688448354
宁波方特东方神画,,浙江省宁波市杭州湾新区天宝路188号,运用高科技诠释民间传统艺术,0.0,180,1546,121.63838540406807,29.812304545230223
东北虎林园,3A,黑龙江省哈尔滨松北区松北街88号,可近距离接触东北虎,0.7,88.9,1546,126.6047459354556,45.823753154137876
沙坡头旅游区,5A,宁夏回族自治区中卫市沙坡头区迎水桥镇,欧亚大通道，古丝绸之路的必经之地,1.0,28,1526,105.14034962512947,37.51298271594777
秦皇岛海滨国家森林公园,,河北省秦皇岛市北戴河区滨海大道中段,冬无严寒，夏无酷暑,0.0,50,1482,119.52852820937072,39.88491212416698
龙脊梯田,4A,广西壮族自治区桂林市龙胜县东南部和平乡境内,中国秀美梯田，脱离城市去触摸自然,0.78,3,1474,110.01515507868342,25.800983400466826
瘦西湖,5A,江苏省扬州市维扬区长春路118号,湖上园林的典型代表,1.0,59.5,1474,119.4390925175429,32.41578454348512
上海长风海洋世界,4A,上海市普陀区大渡河路451号（长风公园4号门）,和奥莉一起看海豚啦,0.7,160,1456,121.4030196427862,31.230307255251677
芜湖方特梦幻王国（二期）,,安徽省芜湖市鸠江区赤铸山东路华强文化科技产业园,东方梦幻乐园，亚洲科幻神奇,0.0,99,1426,118.46589745828385,31.36586115700339
新澳海底世界,4A,河北省秦皇岛市海港区河滨路81号,带你探寻海洋世界奥秘,0.72,78.5,1422,119.56907676609067,39.912099515856525
张家界国家森林公园,5A,湖南省张家界市武陵源区,三千奇峰，八百秀水,0.9400000000000001,248,1418,110.4884957873388,29.35720050870958
华侨城,5A,广东省深圳市南山区深南大道9012,世界几千年人类文明精华为您一次呈现,0.74,45,1412,113.99076477408998,22.540509385334687
香港海洋公园,,香港特别行政区香港仔黄竹坑南朗山,妙趣横生的大型主题公园,0.96,200,1404,114.1660709591865,22.25172293223026
银川花博会,,宁夏回族自治区银川市金凤区亲水北大街,一心、两轴、四岛、多园,0.0,45,1378,106.228626606865,38.52874743333173
海军博物馆,3A,山东省青岛市市南区莱阳路8号,一座大型专业性军事博物馆,0.78,25.1,1372,120.33737993744448,36.061057993051705
广州塔,4A,广东省广州市海珠区阅江西路222号,360度羊城全貌，感受王者之居高临下,0.0,75,1370,113.33099508307653,23.112234255549392
成都杜甫草堂,4A,四川省成都市青羊区青华路37号,成都地标签到处,0.86,55,1344,104.03379699957328,30.668386872289382
天津海昌极地海洋公园,4A,天津市滨海新区响螺湾中心商务区61号,快来与海洋动物亲密接触,0.0,78.8,1344,117.69032138633472,39.01319222777721
黑山谷,5A,重庆市万盛区黑山镇境内,重庆独特的生物基因库，西南神农架,0.72,118,1324,106.97195043625806,28.933780776905177
三亚骏达车技表演馆,3A,海南省三亚市海榆西线凤凰派出所西侧,极度震撼 颠覆想像 夜游三亚 必看演出,0.0,68,1308,109.4391095703936,18.30585444895059
塔尔寺,5A,青海省西宁市湟中县鲁沙尔镇,"佛光里的塔尔寺,梦中的青海湖",1.0,80,1308,101.57255572794953,36.50259911284262
芜湖方特东方神画（四期）,,安徽省芜湖市鸠江区赤铸山东路（芜湖方特二期附近）,非物质文化博览园,0.0,111,1304,118.47861915671272,31.359606495501453
世界公园,4A,北京市丰台区花乡丰葆路158号,40个国家的109处著名古迹名胜微缩景点,0.7,1.5,1302,116.29134530037055,39.81701668112492
崇圣寺三塔,5A,云南省大理市大理古城西北两公里的苍山应乐峰下,大理的标志和象征,0.86,98.01,1298,100.23898676601813,25.61667893371027
广州长隆旅游度假区,5A,广东省广州市番禺区番禺大道,一站式旅游度假胜地，广东必游景点,0.7,3.8,1296,113.3934216467933,22.942956954096605
鹿回头风景区,4A,海南省三亚市西南端鹿回头半岛内,天南旅行乡，鹿回头爱情的圣地,0.8,22,1288,109.5008225426711,18.21719284000799
成都动物园,,四川省成都市成华区昭觉南路234号,绿树成荫、湖光潋滟、鸟语花香、风景诱人,0.7,10,1286,104.10624427805419,30.703604775063607
长沙生态动物园,4A,湖南省长沙市长沙县暮云镇西湖村道芙蓉南路,亲近动物和自然，市民百姓旅游佳地,0.0,105,1266,113.00605622236708,28.047548952543163
西岛,4A,海南省三亚市三亚湾西岛,海上桃源，动感天堂,0.78,70,1262,109.42531779966612,18.29626162255213
同里古镇,5A,江苏省苏州市吴江市同里镇,世界同里，东方小威尼斯,0.8,45,1258,120.72990992518918,31.155732522388636
青岛方特梦幻王国,,山东省青岛市城阳区红岛街道岙东南路华南文化产业基地内,梦幻、惊险、刺激，你想要的，这里都有,0.0,228.1,1252,120.28175313050217,36.205137361335005
张掖冰沟丹霞地质公园,4A,甘肃省张掖肃南县康乐乡,危崖劲露，气势磅礴，苍劲雄浑,0.0,35,1250,99.92036938380082,38.972168127558746
武隆天坑地缝国家地质公园,5A,重庆市武隆县银杏大道武隆喀斯特旅游区,反映地球演化历史的杰出范例,0.0,59,1230,107.73360227399138,29.467080654705114
天安门广场,,北京市东城区天安门,我爱北京天安门，天安门上太阳升,1.0,20,1226,116.40390583019587,39.9151754663074
台儿庄古城,5A,山东省枣庄市台儿庄区华兴路东段,中华古水城，天下第一庄,0.0,95,1224,117.73850669960188,34.56657483982404
深圳野生动物园,4A,广东省深圳市南山区西丽镇西丽路4065号,放养式动物园让你和动物们“零距离”,0.0,29,1222,113.97527455557602,22.60027044853031
罗蒙环球乐园,,浙江省宁波市鄞州区鄞州大道中段1099号/萧皋东路820号罗蒙环球城,各个年龄段都能找到适合自己的娱乐项目,0.0,190,1218,121.55028798895368,29.805445765504224
天津方特欢乐世界,,天津市滨海新区中新生态城中生大道北首生态岛内,京津冀地区首家“科幻”高科技公园,0.0,197.1,1212,117.64628627057449,39.05917663803484
花之城,,云南省昆明市盘龙区金瓦路8188号,云南之行，美之一站,0.0,18.3,1210,102.79227932298305,25.06059865119661
玉渡山,,北京市延庆县张山营镇玉皇庙村东,延庆县城西北山中的玉渡山自然风景区,0.7,52,1204,115.85101085035251,40.48261816146429
南昌万达海洋乐园,,江西省南昌市九龙湖新区万达文化旅游城万达茂一楼,7个主题水池，带您玩转海洋乐园,0.0,90,1196,115.79104481091682,28.59043720771325
天府花溪谷,,四川省成都市大邑县金星乡和平村10组,天府花溪谷-休闲度假好去处,0.0,35,1196,103.5087628842744,30.737704685401717
壶口瀑布（陕西）,4A,陕西省延安市宜川县壶口乡,西北第一大瀑布,1.0,8,1192,110.42252271086454,36.14345538895065
武汉欢乐谷,4A,湖北省武汉市青山区欢乐大道196号,华中城市旅游新名片,0.0,78.9,1190,114.39808165242476,30.60000994475479
灵山大佛,5A,江苏省无锡市滨湖区灵山路1号,观释迦牟尼佛青铜立像，赏佛教胜景,1.0,195,1184,120.10934460044822,31.426931185423864
哈尔滨万达主题乐园,,黑龙江省哈尔滨市松北区世茂大道与宏源街交汇处,一站式文化娱乐新体验在万达乐园,0.0,37,1182,126.51433610226776,45.816252478672
海口观澜湖华谊冯小刚电影公社,4A,海南省海口市观澜湖大道（西线高速往观澜湖温泉1.8公里处）,以导演个人命名的电影主题旅游项目,0.0,128,1178,110.34016137788238,19.920726431884383
象山公园,4A,广西壮族自治区桂林市秀峰区滨江路1号,2017央视春晚分会场，绝美赏月地,0.0,35,1164,110.30050576469993,25.274413235147144
长白山北景区,,吉林省延边州安图县二道白河镇,领略美人松的飘逸，地下长林的浩荡,0.86,69,1160,128.13284177020378,42.43723377030355
嘉峪关,5A,甘肃省嘉峪关市明万里长城最西端,嘉峪关——万里长城西端的主宰,0.8400000000000001,8,1150,98.40475279553763,39.914711003026305
济南动物园,,山东省济南市天桥区济洛路87号,大型森林式动物园，自然生态环境浑然天成,0.0,22,1134,116.9991121269326,36.70836009739779
中国纽扣博物馆,,浙江省嘉兴市嘉善县西塘古镇内,江南传统民居向现代建筑转型过程中的代表,0.0,79,1128,120.90040291396349,30.94985173312398
苍山洗马潭索道,,云南省大理白族自治州大理市苍山景区下三月街天龙八部影视城内,体验在山云间穿梭之美，一览苍山美景,0.76,320,1124,100.15512187182117,25.68811977999186
古龙峡漂流,4A,广东省清远市清新县三坑滩,广东漂流看清远，清远漂流看古龙,0.76,37.01,1120,112.9554205095499,23.770490125633042
刘公岛,5A,山东省威海市海滨北路101-2号,北洋水师诞生地，甲午战争遗址,1.0,60,1106,122.14218786312804,37.49613735200491
外滩观光隧道,,上海浦东新区东方明珠广播电视塔和浦西南京东路外滩之间,具有迷幻色彩的魅力隧道,0.7,36.9,1098,121.49638814847572,31.244130753312295
天龙八部影视城,3A,云南省大理州大理古城苍山景区下,为拍摄《天龙八部》兴建的拍摄基地,0.76,26,1098,100.17122416786194,25.649826155673217
碧海金沙水上乐园,,上海市奉贤区海湾旅游区海涵路6号,阳光、海水、沙滩，今年夏天我们约吗,0.7,15,1098,121.55564816013789,30.82999146095915
虎丘,5A,江苏省苏州市金阊区山塘街虎丘山门内8号,苏东坡说到苏州不游虎丘乃憾事也,0.8,77.1,1094,120.58738237629699,31.34058907079879
沈阳世博园,5A,辽宁省沈阳市浑南区近郊高坎镇中马村双园路301号,植物种类多的让你眼花缭乱,0.7,43,1092,123.66048857208554,41.87425420447811
象鼻山,5A,广西壮族自治区桂林市民主路52号,桂林城徽，绝美赏月地领略三月争辉奇景,0.7,35,1084,110.30093826826044,25.27298847639753
镇北堡西部影城,5A,宁夏省银川市西夏区镇北堡西部影城,邂逅“东方好莱坞”,0.0,4.9,1080,106.0733387934918,38.63382260639246
苏州摩天轮乐园,4A,江苏苏州市吴中区工业园区金鸡湖东岸右岸街99号,水上摩天轮带给你最难忘的体验,0.0,65,1076,120.71999658490327,31.32164156370929
卓尔山,,青海省海北州八宝镇祁连县,风韵细腻和粗犷神奇完美结合,0.0,55,1068,100.25154832114777,38.18904464398858
秦岭野生动物园,4A,陕西省西安市长安区滦镇,走进大自然，亲近小动物,0.7,47,1064,108.83076802298348,34.07147578379972
上海影视乐园,3A,上海市松江区车墩镇北松公路4915号,真实艺术地展现上海的历史风貌和人文景观,0.7,62.5,1064,121.31662262834595,31.018482601020704
观音山梦幻水世界,,福建省厦门市思明区观音山商业街17号,领略热带美景、体验潜水激情,0.0,63.9,1060,118.20394057365473,24.500784361161195
黄果树瀑布,5A,贵州省安顺镇宁布依族苗族自治县黄果树瀑布,享有“中华第一瀑”之盛誉,1.0,229,1054,105.67644880148335,25.994862344451658
无锡水浒城,5A,江苏省无锡市山水城旅游度假区水浒城,畅游太湖山水 体验影视传奇,0.78,79,1052,120.24271157200405,31.490547564724565
夫子庙秦淮河,5A,江苏省南京市秦淮区龙蟠中路夫子庙,一条长江路，半部民国史,0.8800000000000001,12,1046,118.79688923727099,32.0277364279542
世界花卉大观园,4A,北京市丰台区南四环中路235号,揽天下奇花异草，聚世界经典园林,0.7,44.7,1032,116.35895791746118,39.83806919123985
崂山,5A,山东省青岛市崂山区内,游海上第一名山，享轻松旅途人生,0.82,95,1030,120.58490643507135,36.19558716954741
木府,,云南省丽江市古城区大研镇光义街49号,木府风云拍摄地,0.78,48,1028,100.24086907538312,26.875382186644405
太阳岛,5A,黑龙江省哈尔滨市松北区太阳岛风景区,位于城市中心的江漫滩湿地草原型风景名胜区,0.9199999999999999,135,1004,126.6030140760934,45.79785901191315
西江千户苗寨,4A,贵州省凯里市黔东南苗族侗族自治州雷山县西江镇南贵村,游览千户苗寨，感受苗族风情,1.0,48,1002,108.1945173513452,26.5193166070086
古北水镇天然温泉,,北京市密云县古北口镇司马台村古北水镇内。,水镇内河道密布，古老的汤河支流萦绕其间,0.0,136.9,1000,117.27533321736573,40.65210159207342
漓江,5A,广西壮族自治区桂林市阳朔县,分明看见青山顶，船在青山顶上行,1.0,70,994,110.48292929478309,24.857282289723944
